Abertamy;50.368855;12.818377;Karlovy Vary;Karlovarský kraj
Adamov;49.000624;14.539603;České Budějovice;Jihočeský kraj
Adamov;49.295708;16.663955;Blansko;Jihomoravský kraj
Adamov;49.857917;15.409018;Kutná Hora;Středočeský kraj
Adršpach;50.624387;16.083501;Náchod;Královéhradecký kraj
Albrechtice;49.786552;18.524545;Karviná;Moravskoslezský kraj
Albrechtice;49.927643;16.644801;Ústí nad Orlicí;Pardubický kraj
Albrechtice nad Orlicí;50.139886;16.064472;Rychnov nad Kněžnou;Královéhradecký kraj
Albrechtice nad Vltavou;49.253337;14.302929;Písek;Jihočeský kraj
Albrechtice v Jizerských horách;50.762400;15.275813;Jablonec nad Nisou;Liberecký kraj
Albrechtičky;49.701790;18.095627;Nový Jičín;Moravskoslezský kraj
Alojzov;49.423541;17.041589;Prostějov;Olomoucký kraj
Andělská Hora;50.204490;12.962918;Karlovy Vary;Karlovarský kraj
Andělská Hora;50.060911;17.389192;Bruntál;Moravskoslezský kraj
Anenská Studánka;49.849856;16.540330;Ústí nad Orlicí;Pardubický kraj
Archlebov;49.043689;17.004911;Hodonín;Jihomoravský kraj
Arneštovice;49.531610;15.117873;Pelhřimov;Kraj Vysočina
Arnolec;49.436298;15.823702;Jihlava;Kraj Vysočina
Arnoltice;50.837124;14.264055;Děčín;Ústecký kraj
Aš;50.223983;12.195113;Cheb;Karlovarský kraj
Babice;49.024865;14.237677;Prachatice;Jihočeský kraj
Babice;49.135413;15.770586;Třebíč;Kraj Vysočina
Babice;50.192196;15.585617;Hradec Králové;Královéhradecký kraj
Babice;49.737929;17.260966;Olomouc;Olomoucký kraj
Babice;50.008089;14.715907;Praha-východ;Středočeský kraj
Babice;49.123859;17.476827;Uherské Hradiště;Zlínský kraj
Babice nad Svitavou;49.283402;16.696235;Brno-venkov;Jihomoravský kraj
Babice u Rosic;49.173078;16.358273;Brno-venkov;Jihomoravský kraj
Babylon;49.398761;12.862893;Domažlice;Plzeňský kraj
Bácovice;49.455771;15.158118;Pelhřimov;Kraj Vysočina
Bačalky;50.385047;15.153530;Jičín;Královéhradecký kraj
Bačetín;50.299877;16.233416;Rychnov nad Kněžnou;Královéhradecký kraj
Bačice;49.081736;16.027802;Třebíč;Kraj Vysočina
Bačkov;49.735384;15.462118;Havlíčkův Brod;Kraj Vysočina
Bačkovice;48.965699;15.589000;Třebíč;Kraj Vysočina
Bakov nad Jizerou;50.482406;14.941596;Mladá Boleslav;Středočeský kraj
Baliny;49.332666;15.952501;Žďár nad Sázavou;Kraj Vysočina
Balkova Lhota;49.452124;14.608319;Tábor;Jihočeský kraj
Banín;49.665712;16.462030;Svitavy;Pardubický kraj
Bánov;48.988113;17.717631;Uherské Hradiště;Zlínský kraj
Báňovice;49.011855;15.490340;Jindřichův Hradec;Jihočeský kraj
Bantice;48.883187;16.182493;Znojmo;Jihomoravský kraj
Barchov;50.197698;15.567740;Hradec Králové;Královéhradecký kraj
Barchov;49.999411;15.680910;Pardubice;Pardubický kraj
Barchovice;49.944355;14.969206;Kolín;Středočeský kraj
Bartošovice;49.668940;18.054715;Nový Jičín;Moravskoslezský kraj
Bartošovice v Orlických horách;50.164080;16.547862;Rychnov nad Kněžnou;Královéhradecký kraj
Bartoušov;49.601128;15.618547;Havlíčkův Brod;Kraj Vysočina
Bařice-Velké Těšany;49.245527;17.426201;Kroměříž;Zlínský kraj
Baška;49.645943;18.372443;Frýdek-Místek;Moravskoslezský kraj
Bašnice;50.334576;15.605129;Jičín;Královéhradecký kraj
Bašť;50.205242;14.477405;Praha-východ;Středočeský kraj
Batelov;49.290179;15.410734;Jihlava;Kraj Vysočina
Batňovice;50.517692;16.036740;Trutnov;Královéhradecký kraj
Bavorov;49.121951;14.079028;Strakonice;Jihočeský kraj
Bavory;48.834789;16.622349;Břeclav;Jihomoravský kraj
Bavoryně;49.895907;13.961126;Beroun;Středočeský kraj
Bdeněves;49.769640;13.235291;Plzeň-sever;Plzeňský kraj
Bdín;50.214245;13.858851;Rakovník;Středočeský kraj
Bečice;49.215784;14.501318;České Budějovice;Jihočeský kraj
Bečice;49.381437;14.539787;Tábor;Jihočeský kraj
Bečov;50.449824;13.717955;Most;Ústecký kraj
Bečov nad Teplou;50.083561;12.838429;Karlovy Vary;Karlovarský kraj
Bečváry;49.956809;15.079916;Kolín;Středočeský kraj
Bedihošť;49.448359;17.166534;Prostějov;Olomoucký kraj
Bednárec;49.195339;15.093296;Jindřichův Hradec;Jihočeský kraj
Bednáreček;49.210179;15.144034;Jindřichův Hradec;Jihočeský kraj
Bedřichov;49.461276;16.465422;Blansko;Jihomoravský kraj
Bedřichov;50.791188;15.142571;Jablonec nad Nisou;Liberecký kraj
Běhařov;49.344879;13.160291;Klatovy;Plzeňský kraj
Běhařovice;49.004036;16.078723;Znojmo;Jihomoravský kraj
Běchary;50.314130;15.292617;Jičín;Královéhradecký kraj
Bechlín;50.416252;14.341026;Litoměřice;Ústecký kraj
Bechyně;49.295336;14.468202;Tábor;Jihočeský kraj
Bělá;49.754546;15.240686;Havlíčkův Brod;Kraj Vysočina
Bělá;49.312617;15.260715;Pelhřimov;Kraj Vysočina
Bělá;50.534417;15.445427;Semily;Liberecký kraj
Bělá;49.972429;18.144995;Opava;Moravskoslezský kraj
